Viewers,Show 1,Show 2,Show 3,Show 4,Show 5,Show 6,Show 7,Show 8,Show 9,Show 10,Show 11,Show 12,Show 13,Show 14,Show 15,Show 16,Show 17,Show 18,Show 19,Show 20,Show 21,Show 22,Show 23,Show 24,Show 25,Show 26,Show 27,Show 28,Show 29,Show 30,Show 31,Show 32
Viewer 3865,Rick And Morty,Ozark,Sex Education,Family Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3866,Daredevil,The Blacklist,Demon Slayer,Rick And Morty,Ozark,Sex Education,Berlin Station,Jack Ryan,Family Guy,The Witcher,How to get away with murder,Suits,Peaky Blinders,Lucifer,,,,,,,,,,,,,,,,,,
Viewer 3867,Kingdom,Stranger Things,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3868,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3869,Inhumans,Sex Education,Atypical,The man in the high castle,Dr. House,Two and a half men,Mare of Easttown,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3870,The Stranger,The Blacklist,Mr. Robot,Ozark,Emily in Paris,Archer,Dark,The 100,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3871,Lost,Ozark,The Flash,Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3872,Better Call Saul,Sex Education,Constantine,Atypical,White Collar,12 Monkeys,Stranger Things,Banshee,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3873,Nine Perfect Strangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3874,White Collar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3875,Hanna,Rick And Morty,Sex Education,Locke & Key,Archer,The IT Crowd,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3876,Mare of Easttown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3877,Rick And Morty,Ozark,Jack Ryan,Kingdom,Black Clover,Shadow and Bone,Perception,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3878,Sex Education,Constantine,Travellers,Atypical,The Walking Dead,12 Monkeys,Stranger Things,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3879,Rome,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3880,Mirzapur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3881,Rick And Morty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3882,Hanna,Constantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3883,Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3884,The Outsider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3885,Sex Education,Dr. House,Two and a half men,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3886,Daredevil,One Piece,Ozark,Sex Education,Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3887,Jack Ryan,The Witcher,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3888,Hanna,Mr. Robot,Sex Education,Deception,Archer,Outer Banks,Banshee,Chernobyl,Startup,How I met your mother,Lucifer,,,,,,,,,,,,,,,,,,,,,
Viewer 3889,Better Call Saul,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3890,Demon Slayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3891,The Wire,Cobra Kai,Atypical,Kingdom,The Witcher,Stranger Things,Shadow and Bone,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3892,Emily in Paris,Deception,Archer,Outer Banks,The Mentalist,The IT Crowd,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3893,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3894,Daredevil,The Wire,Rick And Morty,Succession,Ozark,Grey's Anatomy,The Flash,Preacher,True Detective,Doctor Who,Dr. House,Two and a half men,Sopranos,Black Clover,Lucifer,,,,,,,,,,,,,,,,,
Viewer 3895,Arrow,The Blacklist,Sex Education,Constantine,Travellers,Kingdom,The Walking Dead,Only Murders in the building,Haven,Shadow and Bone,,,,,,,,,,,,,,,,,,,,,,
Viewer 3896,Berlin Station,12 Monkeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3897,Constantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3898,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3899,Rick And Morty,Atypical,Dr. House,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3900,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3901,Family Guy,Two and a half men,The Walking Dead,Stranger Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3902,The Stranger,Outer Banks,The Newsroom,How I met your mother,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3903,Hanna,Daredevil,Mr. Robot,Ozark,Two and a half men,Only Murders in the building,Lost in Space,Dark,The Alienist,The Tick,,,,,,,,,,,,,,,,,,,,,,
Viewer 3904,Sex Education,Atypical,Emily in Paris,Sopranos,Stranger Things,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3905,The Blacklist,Mr. Robot,Ozark,Jack Ryan,Atypical,Family Guy,Preacher,12 Monkeys,Stranger Things,How I met your mother,,,,,,,,,,,,,,,,,,,,,,
Viewer 3906,Sex Education,Spartacus,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3907,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3908,One Piece,Mr. Robot,Locke & Key,Friends,Big Little Lies,How I met your mother,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3909,Hanna,Queen of the South,Ozark,House of Cards,12 Monkeys,Black Clover,The Tick,The IT Crowd,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3910,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3911,Demon Slayer,Sex Education,Berlin Station,Family Guy,Emily in Paris,How I met your mother,The Expanse,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3912,Mr. Robot,Ozark,Atypical,Two and a half men,Game of thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3913,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3914,The Blacklist,Ozark,Berlin Station,The Flash,Dr. House,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3915,The Stranger,Demon Slayer,Deception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3916,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3917,Sex Education,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3918,The Stranger,One Piece,Berlin Station,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3919,Demon Slayer,Dr. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3920,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3921,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3922,Sex Education,The Walking Dead,Only Murders in the building,Suits,Squid Game,Perception,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3923,Outer Banks,You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3924,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3925,Hanna,Daredevil,Sex Education,Berlin Station,Constantine,The Walking Dead,The Mentalist,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3926,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3927,Elementary,The Blacklist,Stranger Things,Suits,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3928,Preacher,Dexter,How to get away with murder,Spartacus,The White Lotus,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3929,Daredevil,Ozark,Sex Education,Berlin Station,The Witcher,How to get away with murder,Banshee,Spartacus,Shadow and Bone,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3930,Emily in Paris,Two and a half men,Outer Banks,Mare of Easttown,Euphoria,Haven,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3931,Daredevil,The Blacklist,Lupin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3932,The Outsider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3933,Atypical,The Innocent,The Nevers,Friends,Bojack Horseman,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3934,Hanna,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3935,Sex Education,Dexter,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3936,Cobra Kai,Berlin Station,Preacher,The Wire,Only Murders in the building,12 Monkeys,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3937,The Walking Dead,Lost in Space,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3938,The Wire,The Blacklist,Emily in Paris,Mindhunter,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3939,The Outsider,Altered Carbon,Absentia,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3940,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3941,Jack Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3942,Sex Education,Punisher,Stranger Things,Outer Banks,American Gods,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3943,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3944,Daredevil,Sex Education,12 Monkeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3945,Into the night,The Blacklist,Atypical,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3946,The Wire,Lost,The Vampire Diaries,Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3947,The Stranger,White Collar,Deception,The Outsider,Lost in Space,Dark,How I met your mother,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3948,Modern Family,The 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3949,Daredevil,One Piece,Madmen,Deception,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3950,Daredevil,Two and a half men,How I met your mother,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3951,The Stranger,Mr. Robot,Atypical,Preacher,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3952,Two and a half men,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3953,Two and a half men,Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3954,Sex Education,Family Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3955,Hanna,Lost,Sex Education,Berlin Station,Jack Ryan,Game of thrones,Locke & Key,Only Murders in the building,Vikings,Sopranos,How to get away with murder,Shadow and Bone,Outlander,Hunters,The Wheel of Time,,,,,,,,,,,,,,,,,
Viewer 3956,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3957,Hanna,The Wire,Queen of the South,Cobra Kai,Rick And Morty,Mr. Robot,Better Call Saul,Sex Education,Family Guy,Deception,Two and a half men,Altered Carbon,Startup,The Expanse,Lucifer,,,,,,,,,,,,,,,,,
Viewer 3958,One Piece,The man in the high castle,Locke & Key,The Expanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3959,Travellers,Two and a half men,Banshee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3960,Ozark,Sex Education,Berlin Station,Atypical,Emily in Paris,Alice in Borderland,Sacred Games,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3961,Hanna,Suits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3962,Cobra Kai,Rick And Morty,Ozark,Travellers,Vikings,The Mentalist,Big Little Lies,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3963,The Walking Dead,Stranger Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3964,Gotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3965,Rick And Morty,Ozark,Atypical,Madmen,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3966,The Outsider,Two and a half men,Shadow and Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3967,Two and a half men,Stranger Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3968,Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3969,Atypical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3970,Hanna,The Wire,Ozark,Sopranos,Dark,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3971,Mr. Robot,Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3972,Family Guy,Black Clover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3973,The Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3974,Daredevil,Ozark,Sex Education,The Flash,Doctor Who,The Outsider,Kingdom,The Walking Dead,How to get away with murder,Lucifer,,,,,,,,,,,,,,,,,,,,,,
Viewer 3975,Rick And Morty,Ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3976,The Stranger,Dark,Locke & Key,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3977,Hanna,Daredevil,Arrow,The Flash,Breaking Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3978,The Witcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3979,Sex Education,Two and a half men,Loki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3980,Only Murders in the building,Hunters,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3981,The Outsider,Banshee,Designated Survivor,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3982,Invincible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3983,Two and a half men,Black Clover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3984,Hanna,Sex Education,Family Guy,Invincible,Dr. House,12 Monkeys,Punisher,The Witcher,Stranger Things,Absentia,The Night Manager,Chernobyl,,,,,,,,,,,,,,,,,,,,
Viewer 3985,The Outsider,Vikings,The Expanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3986,Ozark,The Umbrella Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3987,Demon Slayer,Ozark,Travellers,Dr Stone,Deception,The Wire,Vikings,Archer,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3988,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3989,Jack Ryan,Game of thrones,The Newsroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3990,Rick And Morty,Atypical,Family Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3991,Cobra Kai,Family Guy,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3992,Absentia,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3993,Daredevil,12 Monkeys,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3994,One Piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3995,The Umbrella Academy,Stranger Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3996,Sense 8,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3997,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3998,Daredevil,Demon Slayer,Mr. Robot,Sex Education,Madmen,Two and a half men,12 Monkeys,Stranger Things,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 3999,The Blacklist,Ozark,Atypical,The Mentalist,Dark,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4000,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4001,White Collar,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4002,Elementary,Berlin Station,Jack Ryan,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4003,Sex Education,Berlin Station,Atypical,Two and a half men,Dark,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4004,Daredevil,Jack Ryan,Atypical,Preacher,Kingdom,The Walking Dead,Archer,Ragnarok,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4005,Ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4006,The Wire,Sex Education,Dr Stone,Dr. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4007,The Wire,Ozark,Jack Ryan,Alice in Borderland,House of Cards,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4008,Mr. Robot,Better Call Saul,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4009,The Blacklist,Atypical,The Innocent,Inside Job,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4010,Queen of the South,Succession,Ozark,Family Guy,Dr. House,The Walking Dead,Game of thrones,The Umbrella Academy,The Mentalist,Absentia,How I met your mother,,,,,,,,,,,,,,,,,,,,,
Viewer 4011,Game of thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4012,Stranger Things,Mare of Easttown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4013,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4014,Hanna,Upload,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4015,Queen of the South,Mr. Robot,Person of Interest,Better Call Saul,Family Guy,Preacher,X-Files,Only Murders in the building,12 Monkeys,The Big Bang Theory,Lost in Space,24,Black Clover,The Mentalist,Dark,,,,,,,,,,,,,,,,,
Viewer 4016,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4017,Preacher,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4018,One Piece,Mr. Robot,Ozark,True Detective,Dr. House,Two and a half men,Sopranos,The Mentalist,The Alienist,The Tick,,,,,,,,,,,,,,,,,,,,,,
Viewer 4019,Daredevil,Ozark,Two and a half men,The Mentalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4020,Daredevil,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4021,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4022,Sex Education,The Witcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4023,The Stranger,One Piece,Cobra Kai,Ozark,Family Guy,The Wire,The Alienist,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4024,Two and a half men,Archer,How to get away with murder,Banshee,Spartacus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4025,Archer,Friends,Hunters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4026,Queen of the South,Mr. Robot,Two and a half men,Kingdom,The Walking Dead,Only Murders in the building,Chernobyl,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4027,Mr. Robot,The 100,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4028,Family Guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4029,Constantine,The Walking Dead,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4030,The Stranger,The Blacklist,Demon Slayer,Mr. Robot,Ozark,Sex Education,Berlin Station,Atypical,Family Guy,The Flash,Deception,Supergirl,Dr. House,The Wire,Locke & Key,Inside Job,Nine Perfect Strangers,Stranger Things,The Mentalist,Banshee,The Good Doctor,Chernobyl,The IT Crowd,,,,,,,,,
Viewer 4031,Narcos,Outer Banks,Gotham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4032,Ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4033,The Blacklist,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4034,Daredevil,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4035,The Blacklist,The Boys,Doctor Who,Kingdom,Stranger Things,Outer Banks,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4036,Daredevil,Cobra Kai,Ozark,The Flash,Preacher,Upload,Narcos,Archer,The IT Crowd,How I met your mother,,,,,,,,,,,,,,,,,,,,,,
Viewer 4037,Hanna,Arrow,Sex Education,Preacher,Breaking Bad,The Wire,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4038,Sex Education,Berlin Station,Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4039,Ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4040,Daredevil,Cobra Kai,Mr. Robot,Succession,Jack Ryan,Atypical,Family Guy,Dark,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4041,Lost,The Blacklist,Ozark,Sex Education,Berlin Station,Jack Ryan,Constantine,Atypical,Family Guy,White Collar,Dr. House,The Walking Dead,Game of thrones,12 Monkeys,Sacred Games,Black Clover,The Witcher,Stranger Things,Dark,Big Little Lies,Chernobyl,,,,,,,,,,,
Viewer 4042,Queen of the South,Mr. Robot,Ozark,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4043,The Wire,Lost,Fringe,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4044,Sex Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4045,The Stranger,Lost,Mr. Robot,Succession,Ozark,Sex Education,Berlin Station,Jack Ryan,Travellers,Deception,Dr. House,Only Murders in the building,Shooter,Suits,,,,,,,,,,,,,,,,,,
Viewer 4046,Hanna,Queen of the South,Ozark,Sex Education,Berlin Station,Atypical,Grey's Anatomy,The Walking Dead,Only Murders in the building,Archer,Stranger Things,Outer Banks,Haven,Brooklyn Nine Nine,Perception,Big Little Lies,The Tick,,,,,,,,,,,,,,,
Viewer 4047,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4048,Arrow,Sex Education,Dr. House,The Walking Dead,Only Murders in the building,Punisher,The Alienist,Outlander,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4049,Hanna,Queen of the South,Mr. Robot,Jack Ryan,Constantine,Atypical,Grey's Anatomy,Two and a half men,Sopranos,Lost in Space,Absentia,Big Little Lies,Chernobyl,,,,,,,,,,,,,,,,,,,
Viewer 4050,Outer Banks,The Alienist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4051,The Stranger,Cobra Kai,The Witcher,Rome,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4052,Euphoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4053,Daredevil,White Collar,The Walking Dead,12 Monkeys,Black Clover,The Witcher,Spartacus,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4054,Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4055,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4056,Queen of the South,Lost,Demon Slayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4057,Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4058,Daredevil,Preacher,True Detective,Two and a half men,12 Monkeys,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4059,Daredevil,The Blacklist,Ozark,Sex Education,Atypical,Archer,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4060,The Handmaid's Tale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4061,Daredevil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4062,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4063,Emily in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4064,Dr. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4065,Person of Interest,Family Guy,Lupin,The Alienist,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4066,Travellers,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4067,Berlin Station,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4068,Demon Slayer,Ozark,Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4069,Queen of the South,Cobra Kai,Preacher,Supergirl,Game of thrones,12 Monkeys,Vikings,Punisher,How to get away with murder,The Alienist,,,,,,,,,,,,,,,,,,,,,,
Viewer 4070,Demon Slayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4071,Daredevil,How to get away with murder,Ragnarok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4072,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4073,Daredevil,The Wire,The Blacklist,Two and a half men,12 Monkeys,Stranger Things,Dark,You,Big Little Lies,Lucifer,,,,,,,,,,,,,,,,,,,,,,
Viewer 4074,Absentia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4075,Two and a half men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4076,Supergirl,Absentia,Spartacus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4077,One Piece,Ozark,Sex Education,Preacher,Supergirl,Two and a half men,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4078,Lost,Sex Education,Travellers,Atypical,12 Monkeys,Punisher,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4079,Travellers,Atypical,How to get away with murder,Designated Survivor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4080,Mr. Robot,Sex Education,Atypical,Dr. House,Two and a half men,Banshee,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4081,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4082,Stranger Things,Outer Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4083,The Blacklist,The Outsider,Upload,The Night Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4084,How I met your mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4085,Dark,Ragnarok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewer 4086,Ozark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
